INSPECTION_MONTH,INSPECTION_YEAR,MAKE,MODEL_YEAR,GVWR,CYL,ENGINE_SIZE,VEHICLE_TYPE,ODOMETER,TRANS_TYPE,FUEL_TYPE,ESC,DUAL_EXHAUST,INITIAL_RESULT,FINAL_RESULT
1,2015,NISSAN,2011,3875,6,3500,1,36115,A,G,6,N,P,P
2,2015,CHEVROLET,2014,0,4,1400,1,37512,A,G,6,N,P,P
11,2015,CHEVROLET,2005,9200,8,6000,7,87772,A,G,20,N,P,P
4,2015,PONTIAC,2007,0,6,3500,1,168639,A,G,6,N,P,P
6,2015,VOLKSWAGEN,2012,4806,4,2000,4,42822,A,G,20,N,P,P
10,2015,PONTIAC,2006,0,6,3500,1,104977,A,G,6,N,P,P
9,2015,FORD,1987,3940,6,2900,4,208586,M,G,10,N,P,P
5,2015,CHEVROLET,2012,7000,8,5300,3,17147,A,G,20,N,P,P
12,2015,NISSAN,2012,5730,6,4000,3,63813,A,G,20,N,P,P
10,2015,FORD,1998,6000,6,4200,3,222865,M,G,20,N,F,F
6,2015,TOYOTA,1999,2750,4,1800,1,83751,A,G,6,N,P,P
10,2015,KIA,2014,3625,4,2400,1,43954,A,G,6,N,P,P
9,2015,AUDI,2008,5400,6,3600,4,84026,A,G,20,N,P,P
12,2015,BUICK,2000,4000,6,3800,1,135719,A,G,6,N,P,P
5,2015,INFINITI,2005,3750,6,3500,1,134435,A,G,6,N,P,P
11,2015,NISSAN,2005,3375,4,2500,1,92620,A,G,6,N,P,P
12,2015,NISSAN,2008,2875,4,1800,1,72534,A,G,6,N,P,P
6,2015,TOYOTA,2002,5100,6,3400,3,91010,A,G,20,N,P,P
8,2015,FORD,2004,7200,8,5400,3,152211,A,G,20,N,P,P
9,2015,DODGE,2012,6700,8,4700,3,87180,A,G,20,N,P,P
8,2015,TOYOTA,2014,5250,4,2700,3,20310,A,G,20,N,P,P
2,2015,CHEVROLET,2014,3750,6,3600,1,6590,A,G,6,N,P,P
8,2015,BUICK,1999,3625,6,3100,1,59171,A,G,6,N,F,P
4,2015,PONTIAC,2000,3625,6,3800,1,144820,A,G,6,N,P,P
12,2015,GMC,2013,4001,4,2400,4,50591,A,G,20,N,P,P
2,2015,GMC,1995,4250,8,5700,3,250736,A,G,11,N,F,P
8,2015,HONDA,2014,3375,4,2400,1,9586,A,G,6,N,P,P
7,2015,DODGE,2003,7500,8,4800,7,178104,A,G,20,N,P,P
5,2015,FORD,2006,6700,8,5400,3,123088,A,G,20,N,P,P
10,2015,DODGE,2004,5350,8,5700,3,140736,A,G,20,N,P,P
8,2015,BUICK,2005,3875,6,3800,1,141754,A,G,6,N,P,P
6,2015,MERCURY,2004,3625,6,3000,1,101351,A,G,6,N,P,P
9,2015,VOLVO,2004,4000,5,2500,2,110997,A,G,6,N,P,P
9,2015,VOLKSWAGEN,2010,3125,5,2500,1,47205,A,G,6,N,P,P
11,2015,FORD,1996,5080,6,3000,5,141483,A,G,20,N,P,P
3,2015,JEEP,2014,5050,4,2400,4,12325,A,G,20,N,P,P
8,2015,JEEP,2012,5500,6,3600,4,45611,A,G,20,N,P,P
9,2015,TOYOTA,2002,6860,8,4700,4,170492,A,G,20,N,P,P
4,2015,FORD,1998,7000,8,5400,6,123312,A,G,20,N,P,P
3,2015,MAZDA,2009,4665,4,2300,4,97927,A,G,20,N,P,P
6,2015,CHEVROLET,2002,3750,6,3400,1,150912,A,G,6,N,P,P
10,2015,FORD,2002,6005,6,4200,3,126950,M,G,20,N,P,P
3,2015,CHEVROLET,2014,0,4,1400,1,12957,A,G,6,N,P,P
5,2015,DODGE,1986,6050,8,5700,7,90378,A,G,15,N,P,P
8,2015,JEEP,1999,5500,8,4700,4,183694,A,G,20,N,P,P
4,2015,NISSAN,2013,7200,8,5600,4,52297,A,G,20,N,P,P
3,2015,CHEVROLET,1986,9600,8,7400,7,2902,A,G,18,N,P,P
6,2015,HYUNDAI,2007,4250,6,3300,4,62063,A,G,20,N,P,P
5,2015,MAZDA,2007,4572,4,2300,5,123758,A,G,20,N,F,P
11,2015,CHEVROLET,2001,5900,8,5300,4,156342,A,G,20,N,P,P
11,2015,NISSAN,2013,2875,4,1800,1,37457,A,G,6,N,P,P
11,2015,KIA,2009,5900,6,3500,5,146851,A,G,20,N,F,P
8,2015,PONTIAC,2007,3750,6,3800,1,81048,A,G,6,N,P,P
8,2015,CHRYSLER,2010,3500,4,2400,2,67598,A,G,6,N,P,P
3,2015,KIA,2005,5070,6,3500,4,105235,A,G,20,N,P,P
3,2015,TOYOTA,2004,6600,8,4700,4,142902,A,G,20,N,P,P
10,2015,GMC,2007,6100,8,5300,4,122826,A,G,20,N,P,P
5,2015,LEXUS,2003,4250,8,4300,1,156719,A,G,6,N,F,P
9,2015,AUDI,2015,5390,4,2000,4,7546,A,G,20,N,P,P
2,2015,TOYOTA,1996,4200,4,2400,3,143792,A,G,20,N,P,P
12,2015,CHEVROLET,2001,4600,4,2200,3,201606,A,G,20,N,P,P
11,2015,CHEVROLET,2005,7000,8,5300,4,165605,A,G,20,N,F,P
12,2015,CADILLAC,2001,4250,8,4600,1,159753,A,G,6,N,P,P
6,2015,JEEP,2007,4000,6,3700,4,85818,A,G,20,N,P,P
6,2015,CHEVROLET,1997,6800,8,5700,4,172134,A,G,20,N,P,P
11,2015,TOYOTA,2010,4600,6,3500,4,49380,A,G,20,N,P,P
10,2015,DODGE,1997,5260,6,3300,5,63628,A,G,20,N,P,P
5,2015,DODGE,2001,6600,8,5900,3,193930,A,G,20,N,P,P
1,2015,CHEVROLET,2006,8800,8,6000,7,30434,A,G,20,N,P,P
2,2015,TOYOTA,2010,0,4,1500,1,84768,A,G,6,N,P,P
8,2015,HONDA,2006,2750,4,1800,1,77147,A,G,6,N,P,P
4,2015,TOYOTA,1994,3000,4,2400,3,274014,M,G,11,N,P,P
8,2015,DODGE,2011,0,6,3600,1,45900,A,G,6,N,F,P
3,2015,TOYOTA,1994,2625,4,1600,1,141434,M,G,5,N,P,P
1,2015,CHEVROLET,1989,3500,8,5700,1,37534,M,G,4,N,P,P
10,2015,TOYOTA,2010,3375,6,3500,4,60489,A,G,20,N,P,P
1,2015,JEEP,2002,5400,6,4000,4,185395,A,G,20,N,P,P
12,2015,CADILLAC,2012,7200,8,6200,4,50706,A,G,20,N,P,P
12,2015,FORD,1993,6250,8,5000,3,147236,M,G,16,N,P,P
2,2015,FORD,2006,0,6,3000,1,72449,A,G,6,N,P,P
9,2015,CHEVROLET,2006,5622,6,2500,4,27956,A,G,20,N,P,P
1,2015,CHEVROLET,2012,3375,4,2400,1,64294,A,G,6,N,P,P
5,2015,NISSAN,2002,3625,6,3500,1,164695,A,G,6,N,P,P
11,2015,CHEVROLET,2010,9900,8,6000,7,77298,A,G,20,N,P,P
1,2015,CHRYSLER,2007,3375,6,2700,1,103283,A,G,6,N,P,P
3,2015,GMC,1997,5500,8,5700,4,149024,A,G,20,N,P,P
10,2015,JEEP,2015,4435,4,2000,4,4064,M,G,20,N,P,P
10,2015,FORD,2004,7200,8,5400,3,142392,A,G,20,N,P,P
7,2015,AUDI,2006,4250,6,3200,1,105131,A,G,6,N,F,P
